Language: Faroese-OFT, Lemma Acc:83.55739400206825, Lemma Lev. Dist: 0.609100310237849, Morph acc: 79.93795243019649, F1: 75.96996245306634 
Language: English-EWT, Lemma Acc:96.77973028197793, Lemma Lev. Dist: 0.1203514507560278, Morph acc: 86.51409889660809, F1: 84.54714450431796 
Language: Sanskrit-UFAL, Lemma Acc:53.608247422680414, Lemma Lev. Dist: 1.5618556701030928, Morph acc: 37.628865979381445, F1: 32.02247191011236 
Language: Turkish-IMST, Lemma Acc:94.13104414856342, Lemma Lev. Dist: 0.1506657323055361, Morph acc: 65.66222845129643, F1: 58.26587132509587 
Language: English-PUD, Lemma Acc:89.40009021199819, Lemma Lev. Dist: 0.23410013531799728, Morph acc: 87.68606224627875, F1: 86.02922327608307 
Language: Korean-PUD, Lemma Acc:87.19182200841853, Lemma Lev. Dist: 0.24594107035478052, Morph acc: 87.01142513529766, F1: 85.73324485733245 
Language: Finnish-PUD, Lemma Acc:77.72483621203097, Lemma Lev. Dist: 0.8749255509231686, Morph acc: 78.6777843954735, F1: 74.92085824832924 
Language: Russian-SynTagRus, Lemma Acc:95.30892032437544, Lemma Lev. Dist: 0.12563184115786027, Morph acc: 81.69387977744645, F1: 77.5302987992181 
Language: Croatian-SET, Lemma Acc:94.91147150721619, Lemma Lev. Dist: 0.10836681049447007, Morph acc: 75.25665823538164, F1: 71.88877585622245 
Language: Tagalog-TRG, Lemma Acc:48.0, Lemma Lev. Dist: 2.0, Morph acc: 68.0, F1: 60.0 
Language: Slovenian-SST, Lemma Acc:91.82692307692308, Lemma Lev. Dist: 0.20705128205128207, Morph acc: 62.98076923076923, F1: 60.68610634648369 
Language: Finnish-FTB, Lemma Acc:90.70392598149537, Lemma Lev. Dist: 0.3085771442860715, Morph acc: 77.61315328832208, F1: 73.9306421616891 
Language: Polish-LFG, Lemma Acc:93.84545247321633, Lemma Lev. Dist: 0.15128029784970748, Morph acc: 76.05805030012917, F1: 70.18407230397956 
Language: Portuguese-Bosque, Lemma Acc:96.43129609222683, Lemma Lev. Dist: 0.07794354496905993, Morph acc: 86.79749088751377, F1: 84.81959518920505 
Language: Coptic-Scriptorium, Lemma Acc:93.47450302506482, Lemma Lev. Dist: 0.15946413137424373, Morph acc: 75.23768366464995, F1: 73.85740402193784 
Language: Chinese-CFL, Lemma Acc:82.54847645429363, Lemma Lev. Dist: 0.2451523545706371, Morph acc: 82.96398891966759, F1: 81.51125401929261 
Language: Spanish-AnCora, Lemma Acc:98.32234219871005, Lemma Lev. Dist: 0.03607145445322125, Morph acc: 87.7925936662077, F1: 86.12418509325724 
Language: Greek-GDT, Lemma Acc:93.72676579925651, Lemma Lev. Dist: 0.21081164807930608, Morph acc: 67.87484510532838, F1: 64.03983924515114 
Language: Serbian-SET, Lemma Acc:94.82319033366589, Lemma Lev. Dist: 0.12382219266156745, Morph acc: 74.50393526216605, F1: 70.70063694267516 
Language: Naija-NSC, Lemma Acc:95.79967689822294, Lemma Lev. Dist: 0.10016155088852989, Morph acc: 93.37641357027464, F1: 91.14754098360656 
Language: Vietnamese-VTB, Lemma Acc:98.17087845968712, Lemma Lev. Dist: 0.04500601684717208, Morph acc: 90.58965102286402, F1: 89.45044907900747 
Language: Yoruba-YTB, Lemma Acc:83.6, Lemma Lev. Dist: 0.44, Morph acc: 83.6, F1: 80.5896805896806 
Language: Italian-PUD, Lemma Acc:89.51417004048584, Lemma Lev. Dist: 0.2744939271255061, Morph acc: 87.65182186234817, F1: 86.40035906642728 
